Region,Year,Median Sale Price
Atlanta,2012,114000
Atlanta,2013,159666
Atlanta,2014,182666
Atlanta,2015,196916
Atlanta,2016,210250
Atlanta,2017,222250
Atlanta,2018,239250
Atlanta,2019,251833
Atlanta,2020,277583
Atlanta,2021,335000
Atlanta,2022,389166
Atlanta,2023,394250
Baltimore,2012,291666
Baltimore,2013,306416
Baltimore,2014,304583
Baltimore,2015,299916
Baltimore,2016,309583
Baltimore,2017,323083
Baltimore,2018,338250
Baltimore,2019,347833
Baltimore,2020,380416
Baltimore,2021,418750
Baltimore,2022,440666
Baltimore,2023,459750
Boston,2012,347333
Boston,2013,375000
Boston,2014,395333
Boston,2015,409333
Boston,2016,426166
Boston,2017,458916
Boston,2018,484916
Boston,2019,502083
Boston,2020,554000
Boston,2021,626000
Boston,2022,673583
Boston,2023,703750
Chicago,2012,174666
Chicago,2013,192000
Chicago,2014,207000
Chicago,2015,218416
Chicago,2016,234833
Chicago,2017,247416
Chicago,2018,257333
Chicago,2019,262250
Chicago,2020,285250
Chicago,2021,325250
Chicago,2022,340583
Chicago,2023,344250
DFW,2012,173333
DFW,2013,193916
DFW,2014,212416
DFW,2015,234500
DFW,2016,255916
DFW,2017,279916
DFW,2018,288500
DFW,2019,293666
DFW,2020,313083
DFW,2021,371583
DFW,2022,431000
DFW,2023,424750
Denver,2012,241916
Denver,2013,267500
Denver,2014,289083
Denver,2015,329083
Denver,2016,364583
Denver,2017,396333
Denver,2018,426416
Denver,2019,440833
Denver,2020,483333
Denver,2021,572916
Denver,2022,636500
Denver,2023,626583
Detroit,2013,59272
Detroit,2014,65833
Detroit,2015,84166
Detroit,2016,105666
Detroit,2017,117083
Detroit,2018,126166
Detroit,2019,134166
Detroit,2020,150250
Detroit,2021,173000
Detroit,2022,176500
Detroit,2023,170583
Honolulu,2012,630750
Honolulu,2013,653000
Honolulu,2014,673916
Honolulu,2015,696083
Honolulu,2016,735250
Honolulu,2017,756833
Honolulu,2018,791083
Honolulu,2019,792666
Honolulu,2020,823333
Honolulu,2021,990416
Honolulu,2022,1102333
Honolulu,2023,1045250
Houston,2012,163666
Houston,2013,181416
Houston,2014,199833
Houston,2015,213083
Houston,2016,222500
Houston,2017,231000
Houston,2018,238083
Houston,2019,246833
Houston,2020,261500
Houston,2021,303750
Houston,2022,342333
Houston,2023,336166
Los Angeles,2012,341750
Los Angeles,2013,432666
Los Angeles,2014,484166
Los Angeles,2015,517750
Los Angeles,2016,557666
Los Angeles,2017,600333
Los Angeles,2018,636833
Los Angeles,2019,655500
Los Angeles,2020,727916
Los Angeles,2021,863750
Los Angeles,2022,912000
Los Angeles,2023,899583
Miami,2012,181500
Miami,2013,216333
Miami,2014,236583
Miami,2015,259916
Miami,2016,290333
Miami,2017,323333
Miami,2018,346333
Miami,2019,358500
Miami,2020,397916
Miami,2021,484833
Miami,2022,546666
Miami,2023,592000
Minneapolis,2012,180000
Minneapolis,2013,205500
Minneapolis,2014,214333
Minneapolis,2015,230833
Minneapolis,2016,247500
Minneapolis,2017,264083
Minneapolis,2018,284000
Minneapolis,2019,300833
Minneapolis,2020,325333
Minneapolis,2021,364916
Minneapolis,2022,390750
Minneapolis,2023,395583
New York,2015,476000
New York,2016,461750
New York,2017,490333
New York,2018,513083
New York,2019,526500
New York,2020,565500
New York,2021,662750
New York,2022,733833
New York,2023,740750
Newark,2015,340750
Newark,2016,325666
Newark,2017,326083
Newark,2018,333500
Newark,2019,349166
Newark,2020,390583
Newark,2021,444583
Newark,2022,474916
Newark,2023,513333
Ontario,2012,96750
Ontario,2013,109583
Ontario,2014,117916
Ontario,2015,121166
Ontario,2016,131000
Ontario,2017,139666
Ontario,2018,164416
Ontario,2019,190916
Ontario,2020,230750
Ontario,2021,310750
Ontario,2022,343583
Ontario,2023,331166
Philadelphia,2012,198583
Philadelphia,2013,203250
Philadelphia,2014,197833
Philadelphia,2015,199666
Philadelphia,2016,208666
Philadelphia,2017,222250
Philadelphia,2018,246500
Philadelphia,2019,309750
Philadelphia,2020,341083
Philadelphia,2021,383750
Philadelphia,2022,399333
Philadelphia,2023,421500
Phoenix,2012,151666
Phoenix,2013,190000
Phoenix,2014,207000
Phoenix,2015,222333
Phoenix,2016,238750
Phoenix,2017,253833
Phoenix,2018,275583
Phoenix,2019,292916
Phoenix,2020,332416
Phoenix,2021,418166
Phoenix,2022,478750
Phoenix,2023,460083
Pittsburgh,2012,129416
Pittsburgh,2013,132750
Pittsburgh,2014,135083
Pittsburgh,2015,140666
Pittsburgh,2016,143833
Pittsburgh,2017,147916
Pittsburgh,2018,158916
Pittsburgh,2019,165750
Pittsburgh,2020,183250
Pittsburgh,2021,207166
Pittsburgh,2022,212333
Pittsburgh,2023,213916
Riverside,2012,190272
Riverside,2013,240750
Riverside,2014,276083
Riverside,2015,296583
Riverside,2016,318666
Riverside,2017,342166
Riverside,2018,365666
Riverside,2019,379500
Riverside,2020,419583
Riverside,2021,508833
Riverside,2022,560166
Riverside,2023,558000
San Diego,2012,378500
San Diego,2013,451500
San Diego,2014,492250
San Diego,2015,522583
San Diego,2016,556000
San Diego,2017,597916
San Diego,2018,634166
San Diego,2019,644750
San Diego,2020,705166
San Diego,2021,832750
San Diego,2022,921500
San Diego,2023,947916
San Francisco,2012,722333
San Francisco,2013,884750
San Francisco,2014,1029583
San Francisco,2015,1195916
San Francisco,2016,1267333
San Francisco,2017,1380916
San Francisco,2018,1541416
San Francisco,2019,1536000
San Francisco,2020,1634500
San Francisco,2021,1796500
San Francisco,2022,1789000
San Francisco,2023,1646500
Seattle,2012,325416
Seattle,2013,371833
Seattle,2014,400083
Seattle,2015,432916
Seattle,2016,477833
Seattle,2017,545500
Seattle,2018,598166
Seattle,2019,601666
Seattle,2020,652583
Seattle,2021,789250
Seattle,2022,867750
Seattle,2023,846333
St. Louis,2013,142636
St. Louis,2014,148500
St. Louis,2015,157750
St. Louis,2016,165750
St. Louis,2017,171416
St. Louis,2018,179666
St. Louis,2019,189833
St. Louis,2020,208250
St. Louis,2021,229750
St. Louis,2022,246583
St. Louis,2023,253666
Tampa,2012,123083
Tampa,2013,144166
Tampa,2014,150666
Tampa,2015,165583
Tampa,2016,188083
Tampa,2017,208416
Tampa,2018,223833
Tampa,2019,234833
Tampa,2020,260000
Tampa,2021,316833
Tampa,2022,385166
Tampa,2023,390666
WashingtonDC,2012,355583
WashingtonDC,2013,386583
WashingtonDC,2014,394250
WashingtonDC,2015,397000
WashingtonDC,2016,405000
WashingtonDC,2017,422333
WashingtonDC,2018,432583
WashingtonDC,2019,449916
WashingtonDC,2020,490083
WashingtonDC,2021,558583
WashingtonDC,2022,598083
WashingtonDC,2023,610000
